PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho max err 3.583244811977693e-14 , max. rank: 82
12 0.0007301609094991288 0.0004281434922110728 80 80 82 62
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.8340611100996989
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.7037842078638203
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.000578491080686706
# TT-PIVMGS:    ortho 0 pivot 9 dot -0.00031382019535456523
# TT-PIVMGS:    ortho 0 pivot 6 dot -8.954889012417451e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 8.07842516109842e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 5.4219446035142296e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -5.193622433592032e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 4.1153204683411215e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 3.986489301018546e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 2.214409667370982e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -2.0962183381507266e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 5.323314166944416e-06
# TT-PIVMGS:    ortho max err 2.2420433565262243e-14 , max. rank: 90
13 0.0005075024648582039 0.00029623529892961034 88 88 90 66
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.8279606234687036
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.7031730122796227
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.0006045000423578056
# TT-PIVMGS:    ortho 0 pivot 10 dot -0.0003545425975765102
# TT-PIVMGS:    ortho 0 pivot 9 dot 9.855394856715313e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -7.400877326356817e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot -6.406544948597522e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 6.0004572356297994e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 5.559557523963834e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 4.565457403568618e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 3.737957414978732e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -3.2433372319524284e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -2.225128370324887e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -3.229045890803736e-06
# TT-PIVMGS:    ortho max err 2.7422508708241367e-14 , max. rank: 98
14 0.00035912324986773066 0.00020766331118696825 93 94 98 72
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.8287950791773943
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.7096069923305646
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.0006149022341765831
# TT-PIVMGS:    ortho 0 pivot 11 dot -0.0003454627224094148
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.00011815403864121402
# TT-PIVMGS:    ortho 0 pivot 3 dot -6.387780932559477e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 5.258245658345357e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 4.452041039319831e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 3.803274795314074e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -3.5553865366761556e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot -2.2429929329348744e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -2.1913040897667338e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot -1.5379864356481615e-05
