PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.8323016220313134
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.6986242949971267
# TT-PIVMGS:    ortho 0 pivot 11 dot -0.00021645866851408447
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.00018064762285419783
# TT-PIVMGS:    ortho 0 pivot 9 dot -0.00011648473997027866
# TT-PIVMGS:    ortho 0 pivot 12 dot 5.913579295139908e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 4.95725620771742e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 4.853058113548324e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -4.67603724539252e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 4.5424252559255265e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -4.370702055717102e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -3.543039648371774e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 1.2772703323143952e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.2402832477722723e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -9.092444812604326e-07
# TT-PIVMGS:    ortho max err 2.4764912343044898e-14 , max. rank: 101
15 1.8452052983083784e-05 8.96698533840222e-06 99 99 101 61
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.8322327353525314
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.7135105179386694
# TT-PIVMGS:    ortho 0 pivot 12 dot -0.00022418632476654127
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.00018683892343839426
# TT-PIVMGS:    ortho 0 pivot 10 dot -0.00013408395022621467
# TT-PIVMGS:    ortho 0 pivot 9 dot 7.017058286169602e-05
# TT-PIVMGS:    ortho 0 pivot 13 dot 7.009916063730262e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot -1.8417438999519635e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 8.242132663724075e-06
# TT-PIVMGS:    ortho 0 pivot 3 dot -7.83864684257736e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot 6.99579816617734e-06
# TT-PIVMGS:    ortho 0 pivot 7 dot -6.698238490081276e-06
# TT-PIVMGS:    ortho 0 pivot 4 dot 6.290813446286833e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot -3.190972814258973e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -1.6582799795897274e-06
# TT-PIVMGS:    ortho 0 pivot 5 dot -3.8247374456630567e-07
# TT-PIVMGS:    ortho max err 2.7075564013046005e-14 , max. rank: 109
16 1.2376829524224514e-05 5.997911531206191e-06 105 105 109 62
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.8380543530507372
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.7067705731478173
# TT-PIVMGS:    ortho 0 pivot 13 dot -0.00022909421075998238
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.00018892460530887945
# TT-PIVMGS:    ortho 0 pivot 11 dot -0.00014169096124394195
# TT-PIVMGS:    ortho 0 pivot 10 dot 7.509083695301025e-05
# TT-PIVMGS:    ortho 0 pivot 14 dot 6.890242048871245e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -5.356639431415805e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 4.7836390664990694e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -4.385919498298401e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 4.052450486178097e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 3.7322266867066646e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot -1.9762397697708524e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot -1.6570924555082273e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -1.2490943315154163e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 1.9733927593430095e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot 1.2004272876018956e-06
# TT-PIVMGS:    ortho max err 4.428402089473593e-14 , max. rank: 119
17 8.312361015362422e-06 4.021774115622498e-06 115 115 119 64
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.8337112494437298
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.7034538249991592
# TT-PIVMGS:    ortho 0 pivot 14 dot -0.00022633576889738698
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.00018192908115582766
# TT-PIVMGS:    ortho 0 pivot 12 dot -0.0001381137554010252
# TT-PIVMGS:    ortho 0 pivot 4 dot -9.547319595975753e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 8.451513938058548e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot 8.436593882833569e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 7.835957788625281e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -6.520632867969625e-05
# TT-PIVMGS:    ortho 0 pivot 15 dot 6.026185783113494e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 4.2292838148565506e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -4.196935692772001e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot -2.8921024902026082e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.2526307084349494e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot -6.771942995136004e-06
# TT-PIVMGS:    ortho 0 pivot 9 dot -2.1911897276818276e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -1.0398018874043392e-06
# TT-PIVMGS:    ortho max err 4.1522341120980855e-14 , max. rank: 124
18 5.644699914204349e-06 2.7146370675669214e-06 122 122 124 67
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.833472791576474
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.7093713616833721
# TT-PIVMGS:    ortho 0 pivot 15 dot -0.00023352267336194292
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.00018767791861532164
# TT-PIVMGS:    ortho 0 pivot 13 dot -0.00012790209880277417
# TT-PIVMGS:    ortho 0 pivot 5 dot -0.00010565086738031221
# TT-PIVMGS:    ortho 0 pivot 4 dot 9.762766179305382e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 7.830856787773878e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot 6.305194805115034e-05
# TT-PIVMGS:    ortho 0 pivot 16 dot 6.255889884051319e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -5.8596079821407465e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot -5.2617149289740754e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 3.892232727206388e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 2.6459378507296197e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot -1.671286971428182e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot -1.4610407206822051e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -1.0734079786143603e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 2.0657500581799416e-06
# TT-PIVMGS:    ortho 0 pivot 10 dot 1.8432336810741273e-06
# TT-PIVMGS:    ortho max err 4.8933079810353775e-14 , max. rank: 133
19 3.8644266473295615e-06 1.8568333197474088e-06 130 130 133 65
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.8364316150039395
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.7093153779025879
# TT-PIVMGS:    ortho 0 pivot 16 dot -0.00024076655442818728
