PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='right_precond')

###### right preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho max err 1.325631271420491e-11 , max. rank: 95
14 0.0001040821044928189 0.00010408213318036048 91 85 95 68
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.8242469840036328
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.7072438777828192
# TT-PIVMGS:    ortho 0 pivot 11 dot -0.00038245806832780133
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.0003772143526969609
# TT-PIVMGS:    ortho 0 pivot 12 dot 0.0002592406970408252
# TT-PIVMGS:    ortho 0 pivot 9 dot -0.00014982770655595432
# TT-PIVMGS:    ortho 0 pivot 5 dot -0.00011444282163662958
# TT-PIVMGS:    ortho 0 pivot 4 dot 7.319507741246692e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 5.937990780275834e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot -5.51985542414481e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 4.173739451282261e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -1.9261285147155038e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -1.4406613442574743e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.2295922565648933e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 3.937151647119639e-06
# TT-PIVMGS:    ortho max err 1.3650691688127381e-11 , max. rank: 100
15 7.575221247167437e-05 7.5752174784295e-05 95 92 100 72
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.8236898701281878
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.7061150289463807
# TT-PIVMGS:    ortho 0 pivot 12 dot -0.00043544209592798287
# TT-PIVMGS:    ortho 0 pivot 11 dot 0.0003743659892354815
# TT-PIVMGS:    ortho 0 pivot 13 dot 0.00029239774769921137
# TT-PIVMGS:    ortho 0 pivot 6 dot -0.00011646466255726962
# TT-PIVMGS:    ortho 0 pivot 10 dot -0.00010528047669741691
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.00010208557299205487
# TT-PIVMGS:    ortho 0 pivot 9 dot -6.21144992288998e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -4.524971893723074e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 2.938780278343529e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 2.7585378734872783e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 2.633459914642023e-05
